time,value
2.539524,5.766172
2.539524,5.695157
2.539524,5.730400
2.539524,5.722467
2.540557,5.678905
2.540557,5.749344
2.545648,5.707610
2.588193,5.757422
2.588193,5.778241
2.588193,5.794300
2.588193,5.918974
2.588193,5.936908
2.588193,6.027156
2.635722,5.963209
2.635722,5.818436
2.635722,5.804541
2.635722,5.741362
2.635722,5.735545
2.635722,5.755450
2.682452,5.719149
2.682452,5.722899
2.682452,5.737660
2.682452,5.704436
2.682452,5.734295
2.682452,5.444654
2.690672,5.283342
2.691680,6.302757
2.727609,8.397410
2.727609,8.474676
2.739376,6.494312
2.744163,5.598465
2.770348,5.735016
2.771363,5.775404
2.771363,5.866277
2.792441,5.836611
2.792441,5.798531
2.794538,5.911281
2.794538,5.851660
2.794538,5.957391
2.835724,5.971575
2.835724,5.930273
2.835724,5.970565
2.835724,6.004991
2.835724,5.925273
2.835724,6.082402
2.872660,5.962872
2.872660,6.032926
2.872660,6.090623
2.878145,5.982441
2.898669,6.213423
2.916095,6.043408
2.916095,6.165774
2.917076,6.214336
2.918583,6.036725
2.946677,6.245877
2.946677,6.004895
2.946677,6.050043
2.963352,6.081296
2.963352,5.907098
2.963352,6.048264
2.963352,5.445712
3.023589,2.840582
3.024589,2.915926
3.024589,2.663596
3.024589,2.739372
3.024589,2.785674
3.024589,2.591763
3.024589,2.784568
3.046848,2.594407
3.046848,2.723024
3.073126,2.753988
3.074171,2.634940
3.074171,2.924147
3.074171,2.632920
3.074171,2.741055
3.118068,2.797454
3.119100,2.617005
3.119100,2.847170
3.119100,2.596811
3.119100,2.793367
3.139112,5.677992
3.139112,5.612072
3.155293,5.852045
3.155293,5.745305
3.158707,5.578079
3.158707,5.807234
3.181737,5.558029
3.200205,5.724005
3.200205,5.803627
3.204390,5.657124
3.204390,5.964026
3.244458,5.792953
3.244458,6.038455
3.244458,5.881903
3.244458,3.134310
3.244458,2.805002
3.275578,2.505986
3.275578,2.675039
3.306674,2.623593
3.306674,2.493677
3.332633,2.730573
3.332633,2.486898
3.351252,2.640421
3.351252,2.542335
3.351252,2.218173
3.388772,2.667010
3.388772,6.223664
3.388772,8.257638
3.388772,8.830043
3.388772,6.359060
3.388772,5.574906
3.476523,5.660202
3.476523,5.615390
3.476523,5.921041
3.476523,5.574088
3.476523,5.729102
3.478518,5.751844
3.478518,5.582310
3.478518,5.845362
3.478518,5.582022
3.478518,5.789876
3.478518,5.790165
3.478518,5.642556
3.478518,5.929456
3.478518,5.670395
3.508898,5.690733
3.508898,5.956621
3.508898,5.711264
3.530557,5.931235
3.530557,5.877047
3.530557,5.771461
3.530557,6.046341
3.548699,5.766894
3.551719,5.946861
3.551719,5.910993
3.596069,5.715639
3.596069,5.994654
3.596069,5.704003
3.596069,5.837428
3.597087,5.785309
3.597087,5.593802
3.642187,5.803195
3.642187,5.472541
3.643193,5.641738
3.688028,5.605533
3.688028,5.406526
3.688028,5.556923
3.688028,5.552067
3.690041,5.403016
3.690041,5.657172
3.690041,5.385947
3.690041,5.573752
3.690041,5.529950
3.709893,5.407584
3.709893,5.660490
3.730219,5.435615
3.730219,5.579089
3.731297,5.606639
3.731297,5.513795
3.771852,5.664817
3.773394,5.378831
3.773394,5.646691
3.776939,5.630295
3.776939,5.405083
3.801277,5.647220
3.801277,5.567453
3.824245,5.863681
3.825234,5.868345
3.825234,5.690685
3.825234,5.710350
3.825234,5.520766
3.869097,5.401237
3.869097,5.539037
3.869097,5.353540
3.869097,5.475282
3.870191,5.537210
3.911654,5.422393
3.911654,5.566636
3.911654,5.413017
3.911654,5.377292
3.911654,5.058130
3.911654,5.397150
3.933847,7.584310
3.952211,8.362647
3.952211,6.750681
3.952211,5.498986
3.952211,5.365801
4.001283,5.514227
4.001283,5.529517
4.001283,5.565674
4.001283,5.560241
4.001283,5.503169
4.001283,5.573992
4.001283,5.501053
4.049622,5.537931
4.049622,5.605101
4.049622,5.553317
4.049622,5.624670
4.051638,5.589570
4.106403,5.620102
4.106403,5.607745
4.106403,5.621256
4.106403,5.704196
4.106403,5.681742
4.106403,5.761701
4.139372,5.807282
